Symbol,Ukey,Qty,MarketVolume,MarketShare
BRN FMG0015-BRN FMH0015,614787,grab frommax from row in Volume_Symbol and sum with other common Symbol/Ukeys,grab from _MarketVolume ,Divide Qty/MarketVolume
BRN FMX0014-BRN FMF0015,614663,,,
BRN FMX0014-BRN FMZ0014,614919,,,
BRN FMX0014-BRN FMH0015,614385,,,
BRN FMX0014-BRN FMG0015,614795,,,
BRN FMZ0014-BRN FMF0015,614554,,,
BRN FMF0015-BRN FMH0015,614197,,,
BRN FMF0015-BRN FMG0015,614424,,,
BRN FMZ0014-BRN FMG0015,614832,,,
BRN FMZ0014-BRN FMH0015,614597,,,
BZG5-BZH5,160824,,,
BZX4-BZF5,160767,,,
BZX4-BZZ4,159050,,,
BZX4-BZH5,160769,,,
BZX4-BZG5,160768,,,
BZZ4-BZF5,160781,,,
BZF5-BZH5,160804,,,
BZF5-BZG5,160803,,,
BZZ4-BZG5,160782,,,
BZZ4-BZH5,160783,,,
CLH5-CLJ5,156365,,,
CLZ4-CLG5,156313,,,
CLZ4-CLF5,156312,,,
CLZ4-CLJ5,156315,,,
CLZ4-CLH5,156314,,,
CLF5-CLG5,156324,,,
CLG5-CLJ5,156350,,,
CLG5-CLH5,156349,,,
CLF5-CLH5,156326,,,
CLF5-CLJ5,156327,,,
GAS FMV0014-GAS FMZ0014,616609,,,
GAS FMV0014-GAS FMX0014,616613,,,
GAS FMV0014-GAS FMF0015,616584,,,
GAS FMX0014-GAS FMZ0014,616504,,,
GAS FMZ0014-GAS FMF0015,616382,,,
GAS FMX0014-GAS FMF0015,616474,,,
HOZ4-HOJ5,161689,,,
HOH5-HOJ5,161586,,,
HOF5-HOJ5,161524,,,
HOZ4-HOH5,161690,,,
HOF5-HOG5,161506,,,
HOZ4-HOF5,161687,,,
HOZ4-HOG5,161688,,,
HOG5-HOH5,161541,,,
HOF5-HOH5,161522,,,
HOG5-HOJ5,161543,,,
KC  FMN0015-KC  FMU0015,901479,,,
KC  FMZ0014-KC  FMK0015,901505,,,
KC  FMZ0014-KC  FMH0015,901481,,,
KC  FMZ0014-KC  FMU0015,901548,,,
KC  FMZ0014-KC  FMN0015,901488,,,
KC  FMH0015-KC  FMK0015,901563,,,
KC  FMK0015-KC  FMU0015,901499,,,
KC  FMK0015-KC  FMN0015,901560,,,
KC  FMH0015-KC  FMN0015,901471,,,
KC  FMH0015-KC  FMU0015,901506,,,
KEZ4-KEK5,275102,,,
KEH5-KEN5,275299,,,
KEK5-KEU5,275330,,,
KEZ4-KEH5,275251,,,
KEH5-KEU5,275336,,,
KEN5-KEU5,275105,,,
KEK5-KEN5,275258,,,
KEZ4-KEN5,275112,,,
KEH5-KEK5,275097,,,
KEZ4-KEU5,275331,,,
NGG5-NGH5,164813,,,
NGZ4-NGG5,164767,,,
NGZ4-NGH5,164768,,,
NGX4-NGH5,164744,,,
NGZ4-NGF5,164766,,,
NGX4-NGF5,164742,,,
NGX4-NGG5,164743,,,
NGF5-NGG5,164790,,,
NGX4-NGZ4,164741,,,
NGF5-NGH5,164791,,,
RBF5-RBG5,158092,,,
RBV4-RBZ4,161459,,,
RBV4-RBX4,157889,,,
RBV4-RBG5,158088,,,
RBV4-RBF5,159147,,,
RBX4-RBZ4,161460,,,
RBZ4-RBG5,158090,,,
RBZ4-RBF5,159164,,,
RBX4-RBF5,159161,,,
RBX4-RBG5,158089,,,
ZCN5-ZCU5,184575,,,
ZCZ4-ZCK5,184491,,,
ZCZ4-ZCH5,184576,,,
ZCZ4-ZCU5,184492,,,
ZCZ4-ZCN5,183226,,,
ZCH5-ZCK5,184573,,,
ZCK5-ZCU5,184500,,,
ZCK5-ZCN5,184574,,,
ZCH5-ZCN5,184495,,,
ZCH5-ZCU5,184496,,,
ZLZ4-ZLK5,184257,,,
ZLF5-ZLK5,184263,,,
ZLV4-ZLK5,184233,,,
ZLZ4-ZLH5,184256,,,
ZLV4-ZLH5,184232,,,
ZLF5-ZLH5,184330,,,
ZLV4-ZLF5,184231,,,
ZLV4-ZLZ4,184658,,,
ZLZ4-ZLF5,184329,,,
ZLH5-ZLK5,184331,,,
ZMZ4-ZMF5,184341,,,
ZMH5-ZMK5,184343,,,
ZMF5-ZMH5,184342,,,
ZMZ4-ZMN5,182978,,,
ZMF5-ZMN5,184181,,,
ZMF5-ZMK5,184180,,,
ZMZ4-ZMK5,184174,,,
ZMH5-ZMN5,184192,,,
ZMZ4-ZMH5,184173,,,
ZMK5-ZMN5,184344,,,
ZSF5-ZSH5,183622,,,
ZSX4-ZSH5,183706,,,
ZSF5-ZSN5,183707,,,
ZSH5-ZSK5,183623,,,
ZSF5-ZSK5,183630,,,
ZSX4-ZSF5,183621,,,
ZSK5-ZSN5,183624,,,
ZSX4-ZSN5,182925,,,
ZSH5-ZSN5,183631,,,
ZSX4-ZSK5,183709,,,
ZWN5-ZWU5,196577,,,
ZWZ4-ZWK5,183467,,,
ZWZ4-ZWH5,183165,,,
ZWZ4-ZWU5,196582,,,
ZWZ4-ZWN5,183171,,,
ZWH5-ZWK5,183123,,,
ZWK5-ZWU5,196556,,,
ZWK5-ZWN5,183137,,,
ZWH5-ZWN5,183469,,,
ZWH5-ZWU5,196587,,,
