UKey,Volume
184329,6540
184330,1451
184331,222
184332,185
184341,1662
184342,683
184343,525
184344,484
616474,5251
917534,173
157732,35128
917546,146
917549,92
241710,1105
241711,980
221240,1191755
614493,933
149616,5239
671858,193949
151687,5665
616584,2261
614424,13037
151704,3437
614554,28089
616609,6508
616613,17001
102569,104
184491,3439
184492,584
184495,1414
184496,271
151729,5712
184500,108
102588,107
157889,19448
614597,5338
614605,3721
102608,17844
102609,2593
102612,1132
160804,229
157914,5136
157915,8040
157916,3817
614627,1200
614642,9493
102644,5315
809205,554294
809208,292998
809211,212100
184573,334
614654,6204
184575,286
184576,17122
938247,4406
102668,673
241709,318
614698,4078
938317,303
219471,593385
102737,16850
102738,801
102740,535
102741,2225
160825,54
160827,79
614761,1320
151919,3815
151928,864
614787,7570
158088,329
158089,516
158090,315
614795,3724
158092,4130
102804,161
102814,421
809379,123547
614832,3354
156728,17
227791,340633
227793,150203
616504,22764
152045,66
102905,2248
102907,215
809468,974602
614919,69574
614149,618
102981,607
207430,1131
207451,315
207452,1349
154220,4634
129659,13948
129660,24674
129661,74815
129662,43256
129663,78309
129664,56639
129665,49426
129666,51608
129667,69061
129668,23906
129669,23749
129670,1640
129671,7194
129672,23228
129675,2718
156300,2025
182925,2446
129678,32907
129682,15572
129683,5004
156312,13469
156313,1854
156314,5287
156315,188
129693,9
129694,46
129695,37
236192,1390
275105,191
129699,38
156324,5584
156326,4228
156327,524
275112,581
103091,49
615198,979
156349,4311
156350,432
156351,215
182978,459
102385,3009
156365,1506
156366,491
156367,2585
615124,431
615125,3811
156383,1415
938732,886
156418,310
103184,5266
615189,11191
103195,39
156446,439
275251,1547
103220,6684
275258,152
615236,1929
183123,3122
183137,760
275299,112
615268,1653
164715,26147
164716,3269
164717,3833
164718,639
164719,748
164720,107
945018,143
945019,151
183165,13695
183171,1679
164741,5561
164742,5489
164743,890
275336,15
164745,165
103311,162523
615317,257
164766,4410
164767,378
164768,1402
164769,69
103339,17442
164790,2078
164791,1810
164792,640
183226,2630
183227,1936
183230,317
613320,2124
164813,1687
164814,197
613329,22395
164835,3036
103398,274
613351,3682
615403,956
613363,24891
234494,880
160767,1038
160768,995
160769,202
183467,1362
160781,4480
160782,610
160783,1074
160787,26
613396,27329
613406,8790
121887,72368
151728,7683
160803,3655
103460,4918
160805,87
184497,196
271400,1197
613423,52274
613427,23056
160824,3111
156729,117
156731,935
156732,2047
156733,463
613439,156065
613448,179115
160842,3221
160843,57
613455,6388
160857,1565
220252,195782
103527,1173
234621,461
234622,1588
615557,237
613510,36853
183435,1294
613516,4322
613524,34118
615575,409
103578,4613
271529,58932
103595,37
183469,962
613560,7797
122051,3794
111833,33479
111834,22817
122075,3637
111836,1974
111837,504
111838,907
111839,805
614608,556
150758,1241
613609,3596
122090,662
122120,1452
122127,1888
122141,13629
122145,742
111835,1995
122153,4075
122158,2780
122159,3131
122161,2860
122166,5917
122175,1129
122178,2109
183621,7251
183622,2159
183623,729
183624,837
159050,4682
183630,369
122191,28643
122206,8677
122209,1342
122210,3829
122211,20262
122237,81761
122244,1223
218505,4895
218506,8469
218507,1923
122261,6253
122263,711
183706,3699
183707,487
183709,1347
218526,1467
218528,597
218532,4353
122279,26923
159147,126
122287,44461
122289,1210
159161,1718
159164,7439
614645,561
673246,4
161687,5753
273899,215
273901,680
273902,5587
273907,133
184574,879
273911,237
164744,1265
614663,7789
614907,2228
161450,9288
161452,1878
161453,221
161454,56
161459,1412
161460,17408
614081,46186
614083,71144
161506,2848
614122,17403
614125,39261
161522,253
161524,118
151295,9534
161541,2244
161543,368
161544,33
161557,6347
161559,1395
614177,1529
614186,3359
161586,874
161587,76
614197,4405
161598,350
156299,7590
129676,1366
129677,6995
184173,2525
184174,749
143216,8157
161649,659
184180,139
184181,125
614271,10589
184192,321
208784,243
275097,309
161688,548
161689,104
161690,1071
156301,1426
184231,608
184232,291
184233,75
275102,301
616382,9597
184256,2454
184257,1282
184263,326
184264,90
196556,10
184272,48
183631,538
196577,174
196582,38
196587,17
184658,9689
614385,984
